label	genus	group
B366	Neochlamydia	B
B369	Niastella	B
B370	Nitratireductor	B
B371	Nitrolancea	B
B372	Nitrosospira	B
B373	Nitrospira	B
B376	Nocardioides	B
B378	Nonomuraea	B
B379	Nordella	B
B384	Novosphingobium	B
B386	Oceanobacillus	B
B392	OM27_clade	B
B393	OM60_NOR5_clade	B
B394	Opitutus	B
B397	Oryzihumus	B
B399	P3OB-42	B
B400	Paenarthrobacter	B
B401	Paenibacillus	B
B404	Pajaroellobacter	B
B411	Parafilimonas	B
B418	Pedomicrobium	B
B422	Phaselicystis	B
B423	Phenylobacterium	B
B424	Phormidium_IAM_M-71	B
B429	Phytohabitans	B
B437	Polyangium	B
B441	possible_genus_04	B
B447	Pseudarthrobacter	B
B449	Pseudoduganella	B
B452	Pseudolabrys	B
B453	Pseudomonas	B
B455	Pseudorhodoplanes	B
B456	Pseudosporangium	B
B460	Puia	B
B465	Ramlibacter	B
B466	RB41	B
B467	Reyranella	B
B468	Rhizobacter	B
B473	Rhodanobacter	B
B475	Rhodococcus	B
B478	Rhodopila	B
B479	Rhodoplanes	B
B484	Romboutsia	B
B489	Roseisolibacter	B
B493	Rubrobacter	B
B496	Rugosimonospora_sp._260305	B
B504	Sandaracinus	B
B510	Shinella	B
B515	Singulisphaera	B
B519	Skermanella	B
B520	SM1A02	B
B523	Solirubrobacter	B
B526	Sorangium	B
B532	Sphingomonas	B
B533	Sphingopyxis	B
B541	Stenotrophobacter	B
B543	Steroidobacter	B
B546	Streptomyces	B
B549	Subgroup_10	B
B552	Sumerlaea	B
B553	SWB02	B
B556	Tahibacter	B
B558	Tellurimicrobium	B
B560	Terrabacter	B
B563	Terrimonas	B
B564	Terrisporobacter	B
B575	TM7	B
B580	Tundrisphaera	B
B581	Turicibacter	B
B587	uncultured	B
B590	uncultured_Acidobacteria_bacterium	B
B591	uncultured_Acidobacteriaceae_bacterium	B
B592	uncultured_Acidobacteriales_bacterium	B
B594	uncultured_actinobacterium	B
B598	uncultured_bacterium	B
B600	uncultured_bacterium_gp6	B
B601	uncultured_Bacteroidetes_bacterium	B
B602	uncultured_beta_proteobacterium	B
B603	uncultured_Caldilineaceae_bacterium	B
B609	uncultured_Chloroflexi_bacterium	B
B613	uncultured_Conexibacteraceae_bacterium	B
B614	uncultured_cyanobacterium	B
B617	uncultured_Desulforegula_sp.	B
B620	uncultured_forest_soil_bacterium	B
B621	uncultured_Holophagae_bacterium	B
B622	uncultured_Hyphomicrobiaceae_bacterium	B
B627	uncultured_Mollicutes_bacterium	B
B629	uncultured_organism	B
B637	uncultured_Rhizomicrobium_sp.	B
B638	uncultured_Rhodospirillaceae_bacterium	B
B639	uncultured_Rhodospirillales_bacterium	B
B640	uncultured_Rubrobacteraceae_bacterium	B
B642	uncultured_Rubrobacteria_bacterium	B
B652	uncultured_Verrucomicrobia_bacterium	B
B654	unidentified	B
B656	Ureibacillus	B
B661	Vicinamibacter	B
B663	Vulgatibacter	B
B667	YC-ZSS-LKJ147	B
