	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
B80	0.00357329	0	0	0.000962548	0	0.001757363	0.008956006	0.014164281	0.039770905	0.020505059	0.022953678	0.018901337
B81	0.01429316	0.055204378	0.045259043	0.062529284	0.026972142	0.110713348	0	0	0.012559244	0.00373036	0.012521394	0.007561617
B84	0.000715073	0.001533462	0	0	0	0.001757363	0.039406404	0.045640475	0.064889353	0.052194753	0.064687582	0.054813835
B86	0.004287951	0.003066908	0.003863583	0	0.01078886	0.00263655	0.034032814	0.02203333	0.033491263	0.020505094	0.039647239	0.030242111
B87	0	0	0	0	0	0	0.017912011	0.006295263	0.031398089	0.01304867	0.010433486	0.020791442
B97	0.217255921	0.133410562	0.190419163	0.214523553	0.189575627	0.189794323	0.474668056	0.648409278	1.088466536	0.65989066	0.747037233	0.797636017
B99	0	0	0	0.004809948	0.00077108	0.000879188	0.003582416	0.003147632	0.02093206	0.005593392	0.006261318	0.030242147
B100	0.383771162	0.282922425	0.25775579	0.433857071	0.334454574	0.267117936	0.813204889	0.576014056	1.124051014	0.661754766	0.813811481	0.763613661
B101	0.120062484	0.063638387	0.098245252	0.032707623	0.067045036	0.110713348	0.021494393	0.02203333	0.027211661	0.022369165	0.027127048	0.020791478
B106	0.000715073	0	0	0	0	0	0.014329595	0.015738097	0.016745672	0.018640988	0.035473829	0.020791442
B114	0.01429316	0.020701642	0.024285342	0.03751757	0.02543087	0.021088266	0.31166885	0.228202286	0.249091381	0.1491278	0.283790672	0.302421253
B118	0.005002598	0.008433994	0.002208075	0.012505857	0.016183282	0.007908098	0.005374656	0.004721417	0	0.007457462	0.004173411	0.007560528
B120	0.002858629	0.002300634	0.002208075	0	0.003082529	0.002636027	0	0.009442864	0.012559244	0.007457462	0.006261318	0.007560564
B123	0	0.000767173	0	0	0	0	0.012538387	0.020459514	0.014652418	0.022370274	0.018780267	0.041582921
B124	0.037876855	0.052904186	0.066232754	0.050985421	0.065503764	0.074687586	0.920676922	1.282654275	1.56153085	0.917136142	1.410606618	1.211575081
B126	0.004287951	0	0.00110452	0.002886534	0	0	2.047341834	0.705066373	1.036136428	1.358927331	1.262451186	1.032012521
B129	0.005717259	0.001533462	0.002207768	0.001925095	0.00077108	0.001758375	0.012538387	0.004722354	0.006280848	0.01304867	0.012520191	0.003780282
B131	0.107198646	0.062871642	0.044707101	0.050985421	0.068586308	0.091382445	0.012538422	0.018885698	0.027212867	0.007457462	0.012520191	0.007561617
B132	0.004287951	0	0	0.000962548	0.00077108	0	0.023286633	0.006295263	0.016746838	0.018640953	0.002087908	0.01323204
B140	0.006431919	0	0	0	0.00077108	0	0.034033846	0.014165188	0.033491263	0.031689659	0.016693602	0.02835197
B146	0.001430145	0	0.00055226	0	0.00077108	0.001758375	0.100307201	0.059804726	0.146524337	0.041010153	0.110594897	0.149320522
B149	0.097193437	0.157945857	0.113699564	0.147184321	0.12869565	0.178371518	0.089560022	0.018885698	0.253277809	0.039146047	0.004173411	0.177672492
B152	0	0	0	0	0	0	0.026867982	0.028328563	0.031398089	0.044738365	0.050080726	0.024571724
B155	0.001430145	0	0.003863573	0.003848509	0.003082529	0	0.969039331	1.010385299	1.017297582	1.521103873	0.953620172	0.614293139
B163	0	0	0	0	0	0	0.021494393	0.004722354	0.014652418	0.022369165	0.008347983	0.007560564
B171	1.500066395	1.214496236	0.638594117	1.855676906	1.384056232	1.574589949	0.109263206	0.107019018	0.209320475	0.288935141	0.248316843	0.264618578
B175	0	0	0	0	0	0	0.010748246	0.015738097	0.018838846	0.057787035	0.006261318	0.015121055
B179	0.095049468	0.125743298	0.101556893	0.159690177	0.288987242	0.237242908	0.00716583	0.009442864	0.008374022	0.0111846	0.010433486	0.018901301
B181	0	0	0	0.000962548	0	0	0.04836241	0.007869049	0.033491263	0.065243424	0.016694764	0.022681583
B184	0.002859041	0.002300634	0	0.001923987	0.00077108	0	0.04298882	0.070821407	0.11093986	0.072699812	0.110594897	0.077495454
B188	0.002143969	0.001533462	0.001656144	0	0.021577719	0.000879188	0.005374656	0.001574723	0.00209442	0	0	0.00189123
B196	0.013578486	0.006900547	0.010486856	0.005771941	0.003082529	0.007908098	0.107471998	0.075542824	0.127685491	0.113709965	0.08764126	0.069934927
B201	0	0	0	0	0	0	0.188076049	0.174692793	0.184202028	0.184545671	0.196149452	0.166331682
B203	0.00357329	0.000767173	0	0	0.003082529	0.001758375	0.356448844	0.31476176	0.506555577	0.32994533	0.317177795	0.326992977
B205	0.264423338	0.120376198	0.086654512	0.050985421	0.131778194	0.179250199	0.012539454	0.014165188	0.033491303	0.014912776	0.027127048	0.017011196
B206	0.108627967	0.152578757	0.083894813	0.200093728	0.118677426	0.086110374	0.026868017	0.020459514	0.056516537	0.024233271	0.035473869	0.058594117
B207	0.021440138	0.00460037	0.002207757	0	0.00847741	0.006150752	0.032241606	0.028328563	0.066982526	0.035417871	0.039647239	0.024571724
B209	0.002144394	0.002300634	0.004967457	0.005772495	0.008476966	0.011422806	0.103889617	0.105445202	0.175829212	0.048466541	0.118941678	0.14554024
B210	0	0	0	0	0	0	0.00716583	0.023607146	0.037677691	0.01304978	0.050080726	0.05292373
B211	0.002144394	0.001533462	0.001103884	0.000962548	0.00154216	0.002636027	0.087768814	0.125904716	0.150710725	0.063379353	0.189889376	0.151210627
B212	0.00357329	0	0	0.002886534	0.003082544	0.000879188	0.103889617	0.176266608	0.414454563	0.100661259	0.252490253	0.328883082
B223	0.76325436	1.524254105	1.231377249	1.951875824	1.092757082	1.841707884	0.00537359	0.007869049	0.136058307	0.024233306	0.014606857	0.047253307
B225	0	0	0	0.000962548	0	0	0.010747214	0.036197611	0.075355382	0.018640988	0.035473869	0.09261651
B233	0.000715073	0	0.00055226	0	0.00077108	0.001757363	0.281218452	0.239218966	0.427013807	0.266566012	0.390212159	0.370466039
B235	0	0	0	0	0	0	0.016120803	0.014165188	0.037677691	0.022369165	0.029213753	0.030242147
B236	0.002143969	0	0	0.000962548	0	0	0.008956006	0.01101665	0.031398049	0.01491385	0.052167391	0.020792567
B241	0.01071987	0.017634734	0.002760017	0.034631591	0.011559496	0.006150752	0	0	0.00209442	0	0	0
B242	0	0	0	0.006733934	0	0	0.00716583	0.023607115	0.010467236	0.005593392	0.014608099	0.005671512
B243	0.009290549	0.002300634	0.003311959	0.006733934	0.00077108	0.007908098	0.775589693	0.964744853	0.998458736	1.582619085	1.437733666	1.213465259
B244	0	0	0	0	0	0	0.04836241	0.025180931	0.039770905	0.055922929	0.081381184	0.03969278
B247	0.050740694	0.013034364	0.01490237	0.006733934	0.01849519	0.032511071	1.361312163	1.839782602	1.808529017	1.265722461	2.138863584	1.196454062
B249	0.043594114	0.024535281	0.017662059	0.050023427	0.030054686	0.024602974	0.026868017	0.031476194	0.058609711	0.037281977	0.052167431	0.017011196
B254	0.110771936	0.049837278	0.028700857	0.050985421	0.11097111	0.061507434	0	0	0	0.00186518	0	0
B257	0.353755534	0.211616759	0.142952363	0.201055721	0.257391314	0.165191366	0.021494393	0.031476194	0.052330109	0.014912776	0.027127088	0.051033589
B261	0.022869048	0.009200725	0.005519399	0.006733916	0.014642025	0.016694876	0.508700836	0.681459258	0.881239235	0.520083319	0.909799522	0.529237157
B265	0.000715073	0	0	0	0	0	0.186284806	0.265973713	0.240718565	0.1826816	0.260836994	0.158771154
B268	0	0.002300634	0.00110452	0.002885961	0.00154216	0.003515214	0.00716583	0.012590466	0.060702925	0.024233271	0.04799398	0.052923694
B273	0.046452743	0.083573284	0.052986209	0.091388971	0.085540226	0.078202294	0.026868017	0.012590496	0.131871919	0.009320494	0.027127048	0.107737565
B278	0	0	0	0	0	0.000879188	0.026868017	0.039345212	0.035584477	0.052194717	0.060514212	0.022681619
B280	0	0	0	0	0	0	0.034032814	0.058230911	0.041864119	0.065243424	0.110594897	0.062374399
B281	0	0	0	0	0	0	0.041197612	0.026754747	0.033491263	0.046602435	0.04799402	0.037802639
B283	0.007861241	0.003833639	0.007727156	0.003848509	0.004623801	0.008786762	0.00537359	0.015738067	0.006280848	0.005593392	0.008347983	0.003780282
B284	0	0.001534345	0	0.000962548	0.00077108	0.005272071	0.053735999	0.050361892	0.102567044	0.141671412	0.127288459	0.0812757
B285	0.002143969	0.010734172	0.005519399	0.011543864	0.01078886	0.008786762	0	0	0	0	0	0.00189123
B289	0.15508071	0.157179126	0.085550639	0.210675616	0.195740686	0.245151006	0.186284841	0.192004705	0.251184595	0.370955483	0.323437911	0.230596222
B291	2.412684206	4.63026687	2.994272323	5.861399377	3.839291858	5.541818529	0.025076809	0.01101668	0.108846646	0.050330647	0.018780267	0.170111928
B292	0	0	0	0	0	0	0.145087194	0.097576153	0.140244695	0.093204906	0.079294439	0.077495418
B293	0	0	0	0	0	0	0.019703185	0.012590496	0.008374022	0.016776882	0.012521394	0.015121092
B295	0.002144394	0	0.00055226	0	0.00077108	0.001757363	0.008956006	0.031476164	0.056516537	0.011184564	0.022953678	0.032132288
B299	0.037877267	0	0	0	0.00077108	0	0.080603982	0.108592803	0.152803939	0.150991906	0.100161411	0.141759958
B300	0.030015628	0.059804733	0.040843538	0.042327518	0.036219729	0.084353029	0	0	0	0	0	0
B301	0.010720282	0.005367101	0.010486856	0.015391818	0.006165073	0.013180168	0	0	0	0	0	0
B305	0	0	0	0	0	0	0.012539454	0.020459514	0.031398049	0.022369165	0.010433486	0.015121092
B309	0.002143969	0.004600812	0.00607133	0.007695928	0.006935694	0.007029433	0	0	0	0	0	0
B310	0.027872057	0	0	0	0.00077108	0.000879188	0.007164798	0.009442864	0.020932019	0.018640988	0.008347983	0.005671512
B311	0.002143969	0	0.002759699	0.002886534	0.002311893	0.007029433	0.021494393	0.028328563	0.018838846	0.024233271	0.041733905	0.037802675
B312	0.007146992	0.008434451	0.001656144	0.005771923	0.006165073	0.010544124	0.00358448	0.007869049	0.008372856	0.005592282	0.006261318	0.005671512
B314	0	0	0	0	0	0	0.005374656	0.003149445	0.031398089	0.009320494	0.012520191	0.05292373
B317	0	0	0	0	0	0	0.014329595	0.02203333	0.023025274	0.01304978	0.020866932	0.01134081
B319	0	0	0	0	0	0.000879188	0.016121835	0.017311883	0.008374022	0.018640988	0.010434688	0
B323	0.000715073	0	0	0	0.00077108	0	0.055527207	0.125904716	0.127685491	0.065243424	0.156502212	0.086946087
B325	0.000715073	0	0	0	0	0	0.184493598	0.040919028	0.148617551	0.206914871	0.125201794	0.145540204
B326	0	0	0	0	0.002311893	0	0.012538387	0.018885698	0.004186428	0.018640988	0.008347983	0.011340773
B329	0.002143969	0	0.00055226	0	0.001541272	0.000879188	0.175537627	0.053509494	0.108846646	0.199458483	0.095988041	0.077495454
B332	0	0.000767173	0.00055226	0.002885961	0	0.001757363	0.059109623	0.04406666	0.062796139	0.162176506	0.152328842	0.109627706
B333	0.003573702	0	0.003863901	0.002885961	0.00154216	0.001757363	0.021494427	0.036197611	0.029304875	0.014912776	0.031300418	0.026461865
B336	0.009290549	0	0.00055226	0	0.00077108	0.003515214	0.109263206	0.092854706	0.129778705	0.132350953	0.13146187	0.122858621
B337	0.035732873	0.046003639	0.045259043	0.042327518	0.06242125	0.071172861	0.494371241	0.50519268	0.552606084	0.480937272	0.724083556	0.538687826
B339	0	0	0	0	0	0.000879188	0.02865919	0.094428522	0.039770905	0.014912776	0.112681603	0.02835197
B349	0.002858643	0.000767173	0.002208075	0.000962548	0	0.005272071	0.019703219	0.088133289	0.094194228	0.024233271	0.054254096	0.068044786
B351	0.001430145	0	0	0	0.00077108	0	0.032241606	0.009442864	0.025118447	0.089476694	0.022953678	0.030242147
B353	0	0.013034364	0	0.010581889	0	0	0.075230426	0.034623795	0.031398089	0.057787035	0.037560534	0.007560564
B354	0	0	0.00055226	0	0.001541272	0.000879188	0.136131189	0.103871386	0.098380616	0.14726373	0.106421487	0.109627706
B357	0.00714658	0	0	0	0.001541272	0.004393389	0.530195263	0.564997376	0.768206201	0.385868259	0.663569384	0.529237157
B360	0.004287951	0	0.00055226	0	0.00077108	0	0.010747214	0.017311883	0.018840052	0.018640953	0.008347983	0.020791478
B362	0.220829211	0.203949496	0.15675085	0.349202016	0.268950795	0.288206184	0.340328041	0.265973713	0.395615717	0.50144233	0.35891174	0.334553505
B365	0	0	0	0	0	0	0.035823988	0.012590496	0.031398049	0.052194753	0.012521394	0.035912534
B366	0	0	0	0	0	0	0.005374656	0.007869049	0.02093206	0.005593392	0.020866972	0.018902426
B369	0.020725066	0	0	0.000962548	0	0.001758375	0.053735999	0.116461852	0.11093986	0.042874259	0.125201754	0.086946123
B370	0	0	0	0	0	0	0.008956006	0.014164281	0.023025274	0.007456424	0.037560534	0.022681619
B371	0.000715073	0	0	0.007695909	0	0.002636027	0.025076809	0.004722354	0.056516537	0.027961483	0.016693602	0.017011196
B372	0.002144394	0.00460037	0.001655815	0.002886534	0.004623801	0.012301487	0.180911217	0.078690425	0.138151521	0.219963577	0.121028384	0.058594117
B373	0.817568343	0.285989333	0.146263994	0.243383239	0.11405364	0.113349392	0.546316066	0.265973683	0.337006007	0.376547765	0.40273235	0.257058051
B375	0.031444936	0.009200725	0.01490237	0.015391837	0.03699038	0.035147098	0.016121835	0.015738097	0.016745632	0.039146047	0.018780267	0.032132288
B376	0.001429322	0.001533462	0.00055226	0.009619896	0.00154216	0.006151258	0.259724025	0.283285596	0.345378782	0.602103625	0.642702412	0.425279874
B378	0.00714658	0	0	0	0	0	0.016121835	0.012590466	0.01046603	0.020505094	0.016693602	0.007560564
B379	0	0	0	0.000962548	0	0.001757363	0.068065629	0.056657095	0.083728198	0.095068976	0.075121068	0.09261651
B384	0	0	0	0	0	0.001758375	0.044779994	0.009443771	0.014652418	0.031689695	0.035473829	0.037802675
B385	0.530275957	0.581946107	0.570705548	0.424237176	0.886998173	0.600136678	0.1540432	0.103871386	0.125592277	0.109981789	0.123115089	0.158771154
B386	0.001430145	0.003066923	0.001656144	0.001923987	0.001541272	0.000879188	0.003582416	0.01101665	0.016745672	0.016776882	0.018780267	0.011340773
B392	0	0	0	0	0.00077108	0	0.016120803	0.029902378	0.033491263	0.035417871	0.031300459	0.047253307
B393	0	0	0	0	0	0	0.037615196	0.014164281	0.016745632	0.031689659	0.018780267	0.017011196
B394	0.001429322	0.00306735	0.003311959	0.000962548	0.003082973	0.00966546	0.059109623	0.099149969	0.083728198	0.044738365	0.075121068	0.054813871
B397	0	0.001534345	0.002207768	0.004809948	0.00154216	0.007029416	0.005374656	0.004722354	0.008374022	0.014912812	0.006261318	0.00189123
B399	0.001429322	0.00460037	0.002207757	0.000962548	0.003853609	0.00263655	0.082395224	0.096002338	0.142337909	0.100661294	0.204496233	0.109627706
B400	0	0	0.005519399	0	0	0.004393896	0.019703219	0.00629614	0.035584477	0.020505094	0.012521394	0.030242111
B401	0.008575888	0.013801095	0.009934914	0.020201766	0.013871833	0.007029416	0.010747214	0.02203333	0.048143721	0.016776882	0.022953638	0.024571724
B404	0.016437129	0.016101287	0.020421769	0.022125752	0.025430884	0.04393386	0.04298882	0.129052347	0.077448596	0.041010153	0.125201794	0.09261651
B411	0	0	0.001103884	0.000962548	0	0	0.180911251	0.125904716	0.203040874	0.184545671	0.137721945	0.124748762
B418	0.000715073	0	0	0.000962548	0	0.002636027	0.039406404	0.047214291	0.071168954	0.063379353	0.068860993	0.052923694
B422	0.004288363	0	0.001656144	0	0.00154216	0.001757363	0.023285601	0.047214261	0.050236895	0.035417871	0.064687582	0.049143485
B423	0.000715073	0	0.00055226	0	0.00154216	0	0.087768814	0.094428522	0.142337949	0.085748518	0.191976082	0.156881013
B424	0	0	0	0	0	0	0.00179224	0.045640445	0.00209442	0.00186518	0.252490253	0.005671512
B428	0.025727677	0.026068742	0.004967775	0.074073148	0.004623801	0.005272071	0.005374656	0.003149445	0.00209442	0.003728212	0	0
B429	0.001429322	0	0	0	0	0	0.073439218	0.108592833	0.129778705	0.065243424	0.085554555	0.068044786
B437	0	0	0	0	0	0	0.003582416	0.01101668	0.016745672	0.031689659	0.010433486	0.011340773
B441	0.000715073	0	0	0	0	0	0.021494427	0.01101665	0.008374022	0.027961483	0.020866972	0.00378246
B447	0.000715073	0.000767173	0.002207757	0.004810502	0.00077108	0.001757363	0.014330627	0.003147632	0.012559244	0.026097377	0	0.013230951
B449	0.002143969	0	0	0	0	0	0.003582416	0.040919028	0.014652418	0	0.045907315	0.005671512
B452	0.009290549	0.013801095	0.013798486	0.014429825	0.016953918	0.016694876	0.111054414	0.127478501	0.144431123	0.130486847	0.150242137	0.137979712
B453	0.000715073	0.001534345	0.00055226	0.007695909	0.006935694	0.010544124	0.019704251	0.015738097	0.272116614	0.0223692	0.031300459	0.160661295
B454	0.077183032	0.058271272	0.033668314	0.105818814	0.074751366	0.055356683	0.046571202	0.051935708	0.056516537	0.085748518	0.068860993	0.05292373
B455	0.000715073	0	0	0	0	0.000879188	0.016121835	0.007869049	0.023025274	0.027961447	0.022953678	0.011340773
B456	0.002143969	0	0	0.000962548	0	0	0.005374656	0.018885698	0.054423323	0.016776882	0.039647199	0.028352006
B460	0.017151789	0.000767173	0.009935232	0.000962548	0.016953918	0.010544124	0.068065629	0.055083309	0.07954181	0.061515247	0.050080726	0.0812757
B465	0.001429322	0.000767173	0.002207757	0	0.002312352	0	0.042988786	0.053509494	0.148617551	0.044738329	0.052167431	0.107737565
B466	0.008575888	0	0.001103884	0.011543864	0.021577719	0.007029923	4.705482948	3.39942724	4.378984633	3.159645923	3.551556867	3.765144501
B467	0.005002612	0.00306735	0.006071659	0.004810502	0.003082544	0.003515214	0.150460818	0.185709473	0.278396256	0.164040612	0.22744991	0.219255412
B468	0.000715073	0	0	0	0	0	0.007164832	0.009443771	0.014652418	0.007457462	0.029213713	0.007561617
B471	0.010005209	0.003833639	0.002759699	0.005771941	0.009247588	0.000879188	0	0	0	0	0	0
B473	0.018581097	0.01916818	0.008279088	0.023087727	0.023118991	0.00966546	0.659161689	0.218759422	0.412361349	0.507034612	0.329697987	0.347784419
B475	0	0	0	0.000962548	0.001541272	0.000879188	0.051944791	0.018885729	0.020932019	0.104389471	0.016693562	0.028352006
B478	0.011434517	0.006133817	0.003311641	0.007695909	0.008476952	0.001757363	0.008956006	0.014165188	0.046050507	0.033553765	0.037560534	0.032132252
B479	0.06146055	0.070538935	0.081135124	0.069263218	0.107888566	0.111592029	0.300921637	0.300597509	0.491903159	0.439927119	0.454899781	0.472533217
B484	0	0	0	0	0.002311893	0.000879188	0.093142403	0.116461852	0.115126247	0.186409777	0.154415547	0.069934927
B487	0.027156999	0.02376855	0.037531897	0.018277798	0.040072894	0.05359932	0.00179224	0	0.00418884	0.00186518	0	0
B489	0.004287951	0.003066923	0.006071341	0.007695909	0.004623786	0.007908098	0.016120803	0.006295263	0.023025233	0.01304867	0.012521394	0.015121055
B493	0.002143969	0	0	0	0	0.002636027	0.044779994	0.029902378	0.043957293	0.024233271	0.045907315	0.028352006
B496	0.000715073	0.000767173	0	0.002885961	0.003082529	0	0.229273661	0.229776102	0.341192395	0.173361106	0.27127048	0.154990872
B504	0	0	0	0	0	0	0.012539454	0.029902378	0.031398049	0.013048706	0.029213713	0.007560528
B510	0	0	0.00055226	0	0	0	0.019703219	0.011017587	0.02093206	0.0223692	0.004173411	0.013230951
B515	0.033588904	0.053670917	0.031460567	0.0961989	0.083228333	0.072930223	0.170164003	0.11331425	0.173735998	0.164040612	0.185715966	0.264618615
B517	0.005002598	0.006900547	0.007175214	0.018277779	0.012330117	0.008786779	0	0.001574723	0.00209442	0	0.002087908	0.007560564
B519	0.000715073	0	0	0.000962548	0	0	0.021494393	0.062952358	0.10047387	0.145399624	0.04799402	0.060484258
B520	0	0	0	0	0	0	0.0770216	0.070821376	0.106753472	0.061515212	0.08764122	0.062374399
B523	0.001430145	0.000767173	0.001103884	0.003847973	0	0.001758375	0.164790414	0.261252266	0.295141888	0.411965636	0.467419932	0.334553505
B526	0	0	0	0	0	0	0.007164798	0.034623795	0.016745632	0.016776882	0.031300459	0.007561617
B532	0.094334821	0.124976567	0.118115069	0.105818796	0.1957407	0.222305394	3.342379611	1.076485288	4.242926326	2.999333523	2.441434523	4.114819061
B533	0.000715073	0	0	0	0	0	0.00537359	0.067673805	0.008372816	0.018640953	0.058427466	0.018901337
B539	0.002144394	0.005367542	0.007175214	0.006734489	0.003082529	0.009665443	0	0	0.00209442	0	0	0
B541	0	0	0.00055226	0	0	0	0.087768814	0.036197581	0.025118447	0.054058823	0.029213753	0.03969278
B543	0.006431919	0	0.001655815	0	0	0	0.057318415	0.064526174	0.075355382	0.083884412	0.068860993	0.037802639
B546	0.213682645	0.049070562	0.078927367	0.078883095	0.07398073	0.1168641	0.44242645	0.558702143	0.412361349	0.609560013	0.792944549	0.309981781
B549	0	0	0	0	0	0	0.039406404	0.047214291	0.046050507	0.044738365	0.060514172	0.043473062
B552	0	0	0	0	0	0	0.008957038	0.017311883	0.018838846	0.009321568	0.022953678	0.022681619
B553	0.000715073	0	0.00055226	0	0	0	0.012539454	0.018886635	0.041864119	0.01304867	0.029214956	0.026461865
B554	0.005003023	0.011500917	0.003311641	0.009619896	0.013100753	0.005272577	0	0	0	0	0	0
B556	0	0	0	0	0	0	0.005374656	0.028328563	0.00418884	0.00186518	0.029213753	0.00189123
B558	0	0	0	0	0	0	0.046571202	0.015738097	0.016745632	0.027961447	0.020866972	0.034022393
